gorilla 大猩猩
charity 慈善機構
charitable 慈善的
emergency 緊急
essential 基本的
essence 精隨
copper 銅
lead 鉛
persistent 持續的
persist 持續
toxic 有毒的
harm 傷害
harmful 有害的
harmless 無害的
creature 生物
creator 創造者
mine 採礦
miner 礦工
overrun 蹂躪
habitat 棲息地
inhabit 棲息
inhabitant 棲息者
period 期間
deline 減少
boom 好景氣
bomming 繁榮的
demand 需求
unavoidable 無可避免的
highlight 凸顯
collect 蒐集
over-optimistic 過度樂觀的
assume 假定
extinction 絕種
negligent 疏忽的
neglect 忽視
survival 生存
survivor 生還者
province 省分
provincial 省分的
coincidence 巧合
locate 座落於
location 地點
exactly 正好地
fiction 小說
drill 鑽
continuous 連續的
complex 複雜的
dense 密集的
density 密度
valley 山谷
local 當地的
spectacular 壯觀的
landscape 景色
relatively 相對地
especially 尤其是
region 宗教
regional 宗教的
economy 經濟
impressive 印象深刻的
decade 十年
lively 精力充沛的
technology 科技
technological 技術的
primarily 主要地
primary 主要的
cattle 牛群
agricultural 農業的
agriculture 農業
cotton 棉花
exceed 超過
destination 目的地
appeal 吸引
explore 探索
plain 平原
resident 居民
reside 居住
